Customer ID,LifetimeSpend,AvgQuantityPerLine,TotalLineItems,Country,Recency,Frequency,Return_Recency,Return_Frequency,TotalReturnValue,AvgReturnValue,TotalReturnLineItems,AvgReturnQuantityPerLine,CustomerTenureDays,AOV,PurchaseVelocity,Return_Value_Ratio,Spend_Cluster_Unclassified,Spend_Cluster_0,Spend_Cluster_1,Spend_Cluster_2,Cluster_Median_Delta,Financial_Momentum,Lifespan_Consistency,Is_Churned
12346,169.36,1,24,United Kingdom,259,2,270,0,0,0,0,0,377,84.68,0.00530504,0,0,0,21.1,148.26,5.296523517,0.653899614,754,1
12347,1798.71,11.43,100,Iceland,47,3,270,0,0,0,0,0,134,599.57,0.02238806,0,0,32.1,1414.82,351.79,1.46875,38.27042553,402,0
12348,1061.4,55.5,40,Finland,49,3,270,0,0,0,0,0,168,353.8,0.017857143,0,0,0,1061.4,0,1.53125,21.66122449,504,0
12349,2196.99,9.39047619,105,Italy,138,2,466,1,24.15,4.83,5,1,319,1098.495,0.006269592,0.010992312,0,0,1184.05,1012.94,4.3125,15.92021739,638,1
12350,294.4,12.25,16,Norway,40,1,270,0,0,0,0,0,40,294.4,0.025,0,0,17.7,276.7,0,1.25,7.36,40,1
12351,300.93,12.42857143,21,Unspecified,105,1,270,0,0,0,0,0,105,300.93,0.00952381,0,0,0,273.33,27.6,3.28125,2.866,105,1
12352,744.65,8.405405405,37,Norway,13,4,270,0,0,0,0,0,123,186.1625,0.032520325,0,0,0,527.85,216.8,0.40625,57.28076923,492,0
12353,317.76,9.6,20,Bahrain,139,1,270,0,0,0,0,0,139,317.76,0.007194245,0,0,0,317.76,0,4.34375,2.286043165,139,0
12355,488.21,13.77272727,22,Bahrain,298,1,270,0,0,0,0,0,298,488.21,0.003355705,0,0,30,214.96,243.25,6.09406953,1.638288591,298,0
12356,5071.92,25.87068966,116,Portugal,56,4,270,0,0,0,0,0,155,1267.98,0.025806452,0,0,25.92,3027.39,2018.61,1.75,90.57,620,0
12357,11229.99,23.64634146,164,Switzerland,119,1,270,0,0,0,0,0,119,11229.99,0.008403361,0,0,0,5537.24,5692.75,2.433537832,94.36966387,119,0
12358,2519.01,14.49122807,57,Austria,106,3,270,0,0,0,0,0,462,839.67,0.006493506,0,0,29.4,1868.41,621.2,3.3125,23.76424528,1386,0
12359,4855.77,7.01843318,217,Cyprus,35,8,337,2,94,23.5,4,54,464,606.97125,0.017241379,0.019358413,0,72.7,1967.98,2815.09,0.715746421,138.7362857,3712,0
12360,1310.83,15.14117647,85,Austria,123,3,270,0,0,0,0,0,386,436.9433333,0.007772021,0,0,35.7,1275.13,0,3.84375,10.65715447,1158,0
12361,451.25,9.24,25,Belgium,17,4,270,0,0,0,0,0,412,112.8125,0.009708738,0,0,0,451.25,0,0.53125,26.54411765,1648,1
12362,429.2,8,28,Belgium,26,1,18,1,4.9,2.45,2,1,26,429.2,0.038461538,0.011416589,0,30.3,398.9,0,0.8125,16.50769231,26,0
12365,320.69,8.238095238,21,Cyprus,21,1,270,0,0,0,0,0,21,320.69,0.047619048,0,0,0,278.19,42.5,0.65625,15.27095238,21,1
12366,500.24,98.66666667,3,Cyprus,364,1,270,0,0,0,0,0,364,500.24,0.002747253,0,0,0,500.24,0,11.375,1.374285714,364,1
12368,917.7,18.33333333,18,Cyprus,358,1,270,0,0,0,0,0,358,917.7,0.002793296,0,0,0,404.3,513.4,7.321063395,2.563407821,358,1
12369,1511.15,13.71111111,90,Austria,143,3,270,0,0,0,0,0,372,503.7166667,0.008064516,0,0,27,1359.35,124.8,4.46875,10.56748252,1116,1
12370,3217.28,13.10650888,169,Cyprus,5,6,270,0,0,0,0,0,399,536.2133333,0.015037594,0,0,92.6,2681.13,443.55,0.15625,643.456,2394,1
12371,1819.42,8.277227723,101,Switzerland,139,3,270,0,0,0,0,0,375,606.4733333,0.008,0,0,15,1497.72,306.7,4.34375,13.08935252,1125,1
12372,363.22,11.68421053,19,Denmark,27,1,270,0,0,0,0,0,27,363.22,0.037037037,0,0,0,281.52,81.7,0.84375,13.45259259,27,0
12373,927.65,10.64583333,48,Austria,41,3,270,0,0,0,0,0,404,309.2166667,0.007425743,0,0,0,858.65,69,1.28125,22.62560976,1212,1
12374,2046.29,20.71428571,49,Austria,152,2,270,0,0,0,0,0,318,1023.145,0.006289308,0,0,0,1938.89,107.4,4.75,13.46243421,636,1
12376,383.15,21.54545455,11,Switzerland,120,2,270,0,0,0,0,0,148,191.575,0.013513514,0,0,0,383.15,0,3.75,3.192916667,296,1
12377,3266.32,14.00666667,150,Switzerland,45,4,270,0,0,0,0,0,319,816.58,0.012539185,0,0,20.04,3085.03,161.25,1.40625,72.58488889,1276,1
12378,1407.7,9.597560976,82,Switzerland,292,1,270,0,0,0,0,0,292,1407.7,0.003424658,0,0,0,870.43,537.27,9.125,4.820890411,292,0
12379,692.98,10.33333333,39,Belgium,152,2,270,0,0,0,0,0,265,346.49,0.00754717,0,0,0,643.38,49.6,4.75,4.559078947,530,0
12380,4747.44,12.89411765,170,Belgium,195,4,112,1,35.4,11.8,3,4,393,1186.86,0.010178117,0.00745665,0,0,3762.99,984.45,6.09375,24.34584615,1572,0
12383,1420.7,17.54320988,81,Belgium,1,3,54,1,11.25,11.25,1,3,82,473.5666667,0.036585366,0.007918632,0,0,1226.95,193.75,0.03125,1420.7,246,0
12385,1668.4,9.28125,64,Belgium,109,1,270,0,0,0,0,0,109,1668.4,0.009174312,0,0,0,1013.5,654.9,3.40625,15.30642202,109,1
12386,401.9,35.4,10,Australia,68,2,270,0,0,0,0,0,97,200.95,0.020618557,0,0,0,303.5,98.4,2.125,5.910294118,194,1
12387,143.94,14.88888889,9,Australia,145,1,270,0,0,0,0,0,145,143.94,0.006896552,0,0,0,110.04,33.9,4.53125,0.992689655,145,1
12388,1886.7,10.74074074,81,Australia,5,5,270,0,0,0,0,0,312,377.34,0.016025641,0,0,0,1659.05,227.65,0.15625,377.34,1560,0
12389,1433.33,12.53061224,49,Australia,133,3,270,0,0,0,0,0,386,477.7766667,0.007772021,0,0,51,1245.78,136.55,4.15625,10.77691729,1158,1
12391,2259.58,5.016666667,180,Cyprus,195,5,376,1,25.6,4.266666667,6,1.333333333,393,451.916,0.012722646,0.011329539,0,26.4,1403.88,829.3,6.09375,11.58758974,1965,1
12392,234.75,10.42857143,7,Australia,321,1,270,0,0,0,0,0,321,234.75,0.003115265,0,0,0,171.45,63.3,10.03125,0.731308411,321,1
12393,1433.65,11.24285714,70,Australia,60,4,130,1,22.7,4.54,5,1.2,158,358.4125,0.025316456,0.015833711,0,0,1333.4,100.25,1.875,23.89416667,632,0
12395,2347.17,16.4015748,127,Belgium,32,6,24,2,17.8,8.9,2,2,333,391.195,0.018018018,0.007583601,0,7.54,2120.98,218.65,1,73.3490625,1998,0
12396,931.43,9.092307692,65,RSA,404,1,270,0,0,0,0,0,404,931.43,0.002475248,0,0,0,870.08,61.35,12.625,2.305519802,404,1
12399,808.65,21.1875,48,Belgium,116,3,270,0,0,0,0,0,375,269.55,0.008,0,0,0,748.65,60,3.625,6.97112069,1125,0
12400,205.25,8.272727273,11,Australia,144,1,270,0,0,0,0,0,144,205.25,0.006944444,0,0,0,128.7,76.55,4.5,1.425347222,144,1
12401,69.3,2.5,4,Belgium,33,1,270,0,0,0,0,0,33,69.3,0.03030303,0,0,0,32.85,36.45,0.674846626,2.1,33,1
12402,1124.15,8.846153846,65,Belgium,53,6,327,1,12.75,12.75,1,1,401,187.3583333,0.014962594,0.011341903,0,0,1124.15,0,1.65625,21.21037736,2406,1
12403,555.66,54,3,Denmark,252,1,270,0,0,0,0,0,252,555.66,0.003968254,0,0,0,555.66,0,7.875,2.205,252,1
12406,2791.46,25.38709677,62,Denmark,130,3,119,1,183.6,183.6,1,24,427,930.4866667,0.007025761,0.065772033,0,0,2341.36,450.1,4.0625,21.47276923,1281,0
12408,1272.07,14.37037037,54,Belgium,115,3,109,2,15.15,5.05,3,11,228,424.0233333,0.013157895,0.011909722,0,0,1115.27,156.8,3.59375,11.06147826,684,0
12409,12033.54,47.36708861,158,Switzerland,151,4,255,2,313.08,104.36,3,36,295,3008.385,0.013559322,0.026017282,0,29.5,9235.66,2768.38,4.71875,79.69231788,1180,0
12410,761.46,8.325,40,Switzerland,39,3,31,1,12.25,6.125,2,1,232,253.82,0.012931034,0.016087516,0,0,479.01,282.45,1.21875,19.52461538,696,1
12411,346.9,6.272727273,22,Australia,140,1,270,0,0,0,0,0,140,346.9,0.007142857,0,0,15,169.45,162.45,4.375,2.477857143,140,1
12412,1246.15,17.25373134,67,Denmark,132,3,210,2,15.9,3.975,4,1.5,269,415.3833333,0.011152416,0.012759299,0,0,1200.35,45.8,4.125,9.440530303,807,0
12413,600.65,5.75,36,France,67,2,62,1,9.95,9.95,1,1,132,300.325,0.015151515,0.016565387,0,0,376.45,224.2,2.09375,8.964925373,264,0
12414,113.76,7.2,20,Austria,40,2,193,1,90,12.85714286,7,27.42857143,194,56.88,0.010309278,0.791139241,0,0,113.76,0,1.25,2.844,388,0
12415,57142.88,91.37897311,409,Australia,12,8,11,1,168.7,84.35,2,55,258,7142.86,0.031007752,0.002952249,0,126.9,43189.62,13826.36,0.375,4761.906667,2064,0
12416,202.56,12,11,Australia,387,1,270,0,0,0,0,0,387,202.56,0.002583979,0,0,0,202.56,0,12.09375,0.523410853,387,1
12417,3611.778649,7.190909091,220,Belgium,11,14,5,6,88.75,9.861111111,9,2.555555556,464,257.9841892,0.030172414,0.024572381,0,54.15,2011.318649,1546.31,0.34375,328.3435136,6496,0
12418,1348.37,9.855072464,69,Switzerland,144,3,336,1,4.25,4.25,1,1,360,449.4566667,0.008333333,0.003151954,0,0,780.28,568.09,4.5,9.363680556,1080,0
12419,391.01,9.869565217,23,Spain,116,2,270,0,0,0,0,0,144,195.505,0.013888889,0,0,0,256.46,134.55,3.625,3.370775862,288,1
