StockCode,Cluster
10002,0
10080,0
10109,2
10120,0
10123C,0
10123G,0
10124A,2
10124G,2
10125,0
10133,0
10134,0
10135,0
10138,2
11001,0
15030,0
15034,0
15036,0
15039,0
15044A,0
15044B,0
15044C,0
15044D,0
15056BL,0
15056N,0
15056P,1
15058A,1
15058B,1
15058C,1
15059A,0
15060B,0
16008,0
16010,2
16011,0
16012,0
16014,0
16015,0
16016,0
16020C,2
16033,0
16043,0
16044,0
16045,0
16046,0
16047,0
16048,0
16049,0
16050,2
16051,0
16052,0
16053,0
16054,0
16119,2
16151A,2
16156L,0
16156N,0
16156S,0
16161C,0
16161E,0
16161G,0
16161M,0
16161P,0
16161U,0
16162L,0
16162M,2
16168M,0
16168S,0
16169A,2
16169C,0
16169D,0
16169E,0
16169F,0
16169G,2
16169K,0
16169M,0
16169N,0
16169P,0
16201A,2
16201B,2
16202A,1
16202B,0
16202C,2
16202E,2
16206B,2
16207A,2
16207B,2
16212,0
16215,2
16216,0
16218,0
16219,0
16225,0
16235,0
16236,0
16237,0
16238,0
16239,2
16243B,2
16244A,2
16244B,2
16245A,2
16248B,2
16254,0
16256B,0
16256C,2
16258A,0
16258B,0
16259,0
17001,0
17003,0
17007B,2
17011A,2
17011B,2
17011C,0
17011D,2
17011E,2
17011F,0
17012A,0
17012B,0
17012C,0
17012D,0
17012E,2
17012F,0
17013B,2
17013C,2
17013D,0
17013F,2
17014A,2
17014C,2
17014D,0
17014E,2
17014F,2
17021,0
17027A,0
17028J,2
17033,0
17038,0
17039,0
17061,2
17084A,0
17084G,2
17084J,0
17084N,0
17084P,0
17084R,0
17090A,2
17090D,2
17091A,0
17091B,2
17091F,2
17091J,0
17096,0
17107D,2
17108D,0
17109A,0
17109B,0
17109C,0
17109D,0
17129C,2
17129D,0
17129F,0
17136A,0
17164B,0
17164D,0
17165B,0
17165D,0
17174,2
17178,2
17181,2
17191A,2
18007,0
18010,2
18094C,0
18096C,2
18097A,2
18097B,2
18097C,0
18098A,2
18098B,2
18098C,0
20615,0
20616,2
20617,0
20618,2
20619,0
20620,2
20621,2
20622,0
20652,0
20653,0
20654,0
20655,2
20657,0
20658,0
20659,2
20660,2
20661,0
20662,2
20663,0
20664,2
20665,0
20666,0
20667,2
20668,0
20669,0
20670,2
20671,0
20672,2
20673,2
20674,0
20675,0
20676,0
20677,0
20678,2
20679,0
20680,2
20681,0
20682,0
20683,2
20684,0
20685,1
20686,0
20688,1
20689,1
20692,1
20693,2
20694,2
20695,1
20696,2
20697,2
20698,2
20699,2
20700,2
20701,2
20702,1
20703,1
20704,1
20705,1
20707,0
20711,0
20712,0
20713,0
20714,0
20716,0
20717,0
20718,0
20719,0
20721,2
20723,0
20724,0
20725,0
20726,0
20727,0
20728,0
20729,0
20730,0
20731,0
20733,0
20734,0
20735,0
20736,0
20738,0
20747,1
20748,1
20749,1
20750,1
20751,0
20752,0
20753,2
20754,0
20755,0
20756,0
20757,0
20758,0
20759,0
20760,0
20761,1
20762,1
20763,1
20764,1
20765,1
20766,1
20767,0
20768,0
20769,0
20770,0
20771,0
20772,0
20773,0
20774,0
